weight;link
FR-NL.ZZ_flowbased;fr00 - zz_flowbased
DE-NL.ZZ_flowbased;de00 - zz_flowbased
AT-NL.ZZ_flowbased;at00 - zz_flowbased
PL-NL.ZZ_flowbased;pl00 - zz_flowbased
HR-NL.ZZ_flowbased;hr00 - zz_flowbased
SI-NL.ZZ_flowbased;si00 - zz_flowbased
BE-NL.ZZ_flowbased;be00 - zz_flowbased
CZ-NL.ZZ_flowbased;cz00 - zz_flowbased
SK-NL.ZZ_flowbased;sk00 - zz_flowbased
HU-NL.ZZ_flowbased;hu00 - zz_flowbased
RO-NL.ZZ_flowbased;ro00 - zz_flowbased
FR-IT.ZZ_flowbased;fr00 - itn1
AT-IT.ZZ_flowbased;at00 - itn1
SI-IT.ZZ_flowbased;si00 - itn1
FR-ES.ZZ_flowbased;fr00 - es00
DE-DK.ZZ_flowbased;de00 - dkw1
FR-CH.ZZ_flowbased;fr00 - ch00
DE-CH.ZZ_flowbased;de00 - ch00
AT-CH.ZZ_flowbased;at00 - ch00
HR-RS.ZZ_flowbased;hr00 - rs00
HU-RS.ZZ_flowbased;hu00 - rs00
RO-RS.ZZ_flowbased;ro00 - rs00
RO-BG.ZZ_flowbased;ro00 - bg00
HR-BA.ZZ_flowbased;hr00 - ba00
BE-NEMO.ZZ_flowbased;be00 - uk00
FR-IFA1.ZZ_flowbased;fr00 - uk00
FR-IFA2.ZZ_flowbased;fr00 - uk00
NL-BRITNED.ZZ_flowbased;nl00 - uk00
PL-SE_PL.ZZ_flowbased;pl00 - se04
DE-DKE_DE.ZZ_flowbased;de00 - dke1
NL-DKW_NL.ZZ_flowbased;nl00 - dkw1
NL-NO_NL.ZZ_flowbased;nl00 - nos0
DE-SE_DE.ZZ_flowbased;de00 - se04
DE-NO_DE.ZZ_flowbased;de00 - nos0
RO-UA_RO.ZZ_flowbased;ro00 - ua01
SK-UA_SK.ZZ_flowbased;sk00 - ua01
PL-LT_PL.ZZ_flowbased;pl00 - lt00
HU-UA_HU.ZZ_flowbased;hu00 - ua01
DE-UK_DE.ZZ_flowbased;de00 - uk00
ALEGRO.ZZ_flowbased;alegro1 - alegro2
